driver,cost,total_points,finished,total_races,bah_af
ver,30.5,5,113,142,2.65
per,17.6,4,191,216,6.6
ham,30.8,34,264,289,2.76
rus,23.9,28,50,61,12.83
nor,15.5,1,55,61,6.62
lec,18.6,49,68,82,6.6
sai,17.2,32,114,142,6.5
gas,13.4,-4,74,87,7.74
vet,11.5,4,244,280,11.05
ric,13.9,13,177,211,8.1
alo,12.3,9,275,337,9.05
oco,12.2,20,76,90,9.16
str,9.2,15,85,101,10.79
tsu,8.4,19,19,23,11.72
alb,7.4,10,37,39,22
zh,8.2,14,1,1,22
sch,6.5,5,20,23,16.47
bot,9.4,22,163,180,5.59
mag,5.9,27,98,120,17.81
lat,6.9,10,34,40,15.11
